#group,false,false,false,false,false,false,false,false
#datatype,string,double,string,double,double,double,dateTime:RFC3339,long
#default,,,,,,,,
,device,humidity,location,noise_db,pressure,temperature,time,wifi_rssi
,heltec_v3,56.78,window,68.17,1023.64,14.2,2026-03-08T01:48:59.651604378Z,-43
,heltec_v3,56.73,window,67.27,1023.63,14.24,2026-03-08T01:49:30.287557738Z,-42
,heltec_v3,56.79,window,67.62,1023.63,14.42,2026-03-08T01:50:00.944318127Z,-42
,heltec_v3,55.78,window,70.61,1023.59,14.95,2026-03-08T01:50:31.618925088Z,-43
,heltec_v3,55.58,window,67.89,1023.58,14.54,2026-03-08T01:51:02.269472821Z,-43
,heltec_v3,55.9,window,68.97,1023.56,14.79,2026-03-08T01:51:32.898958345Z,-42
,heltec_v3,55,window,67.71,1023.6,14.87,2026-03-08T01:52:03.540974609Z,-41
,heltec_v3,55.55,window,67.48,1023.63,14.55,2026-03-08T01:52:34.181378165Z,-43
,heltec_v3,55.31,window,72.61,1023.56,14.59,2026-03-08T01:53:04.843801199Z,-44
,heltec_v3,55.58,window,67.55,1023.59,14.95,2026-03-08T01:53:35.510232461Z,-43
,heltec_v3,54.72,window,66.28,1023.58,14.99,2026-03-08T01:54:06.17535934Z,-43
,heltec_v3,56.08,window,66.48,1023.6,14.21,2026-03-08T01:54:36.832868048Z,-42
,heltec_v3,57.3,window,66.95,1023.58,14.19,2026-03-08T01:55:07.489604396Z,-43
,heltec_v3,57.45,window,65.95,1023.57,13.93,2026-03-08T01:55:38.150742535Z,-41
,heltec_v3,57.79,window,66.5,1023.59,13.87,2026-03-08T01:56:08.814746536Z,-43
,heltec_v3,58.23,window,65.88,1023.57,14.08,2026-03-08T01:56:39.459936931Z,-42
,heltec_v3,56.75,window,65.1,1023.59,14.51,2026-03-08T01:57:10.115581021Z,-41
,heltec_v3,57.12,window,60.97,1023.56,14.26,2026-03-08T01:57:40.761576828Z,-43
,heltec_v3,56.95,window,62.55,1023.59,14.28,2026-03-08T01:58:11.426027982Z,-41
,heltec_v3,57.37,window,63.9,1023.63,14.46,2026-03-08T01:58:42.061560645Z,-43
,heltec_v3,57.35,window,63.07,1023.58,14.05,2026-03-08T01:59:12.723135972Z,-43
,heltec_v3,56.96,window,64.61,1023.59,14.22,2026-03-08T01:59:43.371665552Z,-43
,heltec_v3,57.79,window,65.74,1023.56,13.89,2026-03-08T02:00:14.018434451Z,-41
,heltec_v3,58.48,window,64.59,1023.54,13.77,2026-03-08T02:00:44.646222694Z,-43
,heltec_v3,57.77,window,64.04,1023.54,13.82,2026-03-08T02:01:15.292644583Z,-41
,heltec_v3,58.49,window,64.94,1023.47,13.75,2026-03-08T02:01:45.949069476Z,-42
,heltec_v3,59.4,window,67.23,1023.49,13.6,2026-03-08T02:02:16.592883602Z,-42
,heltec_v3,58.57,window,65.24,1023.51,13.98,2026-03-08T02:02:47.2389863Z,-43
,heltec_v3,58.03,window,65.7,1023.53,14.43,2026-03-08T02:03:17.890274021Z,-42
,heltec_v3,56.56,window,65.5,1023.47,14.89,2026-03-08T02:03:48.595930832Z,-43
,heltec_v3,55.72,window,63.74,1023.47,14.77,2026-03-08T02:04:19.237583526Z,-43
,heltec_v3,56.44,window,65.26,1023.45,14.82,2026-03-08T02:04:49.876856557Z,-43
,heltec_v3,55.7,window,72.33,1023.46,15.23,2026-03-08T02:05:20.508869041Z,-42
,heltec_v3,54.89,window,66.21,1023.45,15.43,2026-03-08T02:05:51.138811479Z,-42
,heltec_v3,53.79,window,64.23,1023.49,15.19,2026-03-08T02:06:21.802337289Z,-43
,heltec_v3,54.51,window,63.89,1023.44,15.41,2026-03-08T02:06:52.459569343Z,-42
,heltec_v3,54.32,window,63.71,1023.44,14.94,2026-03-08T02:07:23.130198243Z,-43
,heltec_v3,55.52,window,61.19,1023.47,14.51,2026-03-08T02:07:53.774224362Z,-43
,heltec_v3,55.59,window,67.93,1023.45,14.49,2026-03-08T02:08:24.421696523Z,-43
,heltec_v3,55.85,window,62.94,1023.49,14.6,2026-03-08T02:08:55.068792596Z,-44
,heltec_v3,56.16,window,62.52,1023.48,14.75,2026-03-08T02:09:25.748020683Z,-43
,heltec_v3,55.54,window,62.6,1023.46,15,2026-03-08T02:09:56.3956362Z,-43
,heltec_v3,54.61,window,65.81,1023.49,14.96,2026-03-08T02:10:27.053176985Z,-43
,heltec_v3,55.06,window,64.35,1023.48,15.13,2026-03-08T02:10:57.703780422Z,-43
,heltec_v3,53.88,window,65.41,1023.48,15.13,2026-03-08T02:11:28.374369076Z,-43
,heltec_v3,54.88,window,64.69,1023.48,14.97,2026-03-08T02:11:59.004027934Z,-42
,heltec_v3,54.76,window,64.8,1023.49,14.81,2026-03-08T02:12:29.779810704Z,-43
,heltec_v3,54.98,window,63.99,1023.48,14.77,2026-03-08T02:13:00.448193062Z,-43
