#group,false,false,false,false,false
#datatype,double,string,string,string,dateTime:RFC3339
#default,,,,,
,air_quality_band,air_quality_text,source,station,time
,1,Low,tfl_api,Gloucester Road,2026-03-10T23:53:43.484735936Z
,1,Low,tfl_api,Gloucester Road,2026-03-10T23:58:44.1965839Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-10T00:04:35.960120557Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-10T00:14:37.275578823Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-10T00:29:39.296972241Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-10T00:34:39.931113106Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-10T00:39:40.630944849Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-08T04:43:57.15264814Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-08T04:48:57.800629358Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-08T04:53:58.454107711Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-08T04:58:59.172072648Z
,2,Moderate,tfl_api,Gloucester Road,2026-03-08T05:03:59.890372869Z
